Section               Name                         Description
universe/devel        binutils-avr                 Binary utilities supporting Atmel's AVR targets
universe/devel        clang-format                 Tool to format C/C++/Obj-C code
universe/devel        dfu-programmer               device firmware update (DFU) based USB programmer for Atmel chips
universe/devel        gcc-arm-none-eabi            GCC cross compiler for ARM Cortex-R/M processors
universe/devel        gcc-avr                      GNU C compiler (cross compiler for avr)
universe/devel        groovy                       Agile dynamic language for the Java Virtual Machine
universe/devel        sloccount                    programs for counting physical source lines of code (SLOC)
universe/devel        teensy-loader-cli            load and run programs onto your Teensy micro controller
universe/electronics  avrdude                      software for programming Atmel AVR microcontrollers
universe/electronics  dfu-util                     Device firmware update (DFU) USB programmer
universe/games        sl                           Correct you if you type `sl' by mistake
universe/graphics     feh                          imlib2 based image viewer
universe/graphics     gimp                         GNU Image Manipulation Program
universe/graphics     graphviz                     rich set of graph drawing tools
universe/graphics     imagemagick                  image manipulation programs -- binaries
universe/java         gradle                       Powerful build system for the JVM
universe/libs         libnewlib-arm-none-eabi      C library and math library compiled for bare metal using Cortex A/R/M
universe/otherosfs    avr-libc                     Standard C library for Atmel AVR development
universe/python       ipython3                     Enhanced interactive Python 3 shell
universe/python       pylint                       Python 3 code static checker and UML diagram generator
universe/python       python-apt                   Python interface to libapt-pkg
universe/python       python3-pip                  Python package installer
universe/python       python3-venv                 pyvenv-3 binary for python3 (default python3 version)
universe/tex          latexmk                      Perl script for running LaTeX the correct number of times
universe/tex          texlive-fonts-extra          TeX Live: Additional fonts
universe/tex          texlive-fonts-recommended    TeX Live: Recommended fonts
universe/tex          texlive-latex-base           TeX Live: LaTeX fundamental packages
universe/tex          texlive-latex-extra          TeX Live: LaTeX additional packages
universe/text         colordiff                    tool to colorize 'diff' output
universe/text         figlet                       Make large character ASCII banners out of ordinary text
universe/text         pandoc                       general markup converter
universe/text         zathura                      document viewer with a minimalistic interface
universe/utils        bat                          cat(1) clone with syntax highlighting and git integration
universe/utils        fd-find                      Simple, fast and user-friendly alternative to find
universe/utils        fzf                          general-purpose command-line fuzzy finder
universe/utils        jq                           lightweight and flexible command-line JSON processor
universe/utils        moreutils                    additional Unix utilities
universe/utils        parallel                     build and execute command lines from standard input in parallel
universe/utils        ppa-purge                    disables a PPA and reverts to official packages
universe/utils        pydf                         colourised df(1)-clone
universe/utils        ripgrep                      Recursively searches directories for a regex pattern
universe/utils        silversearcher-ag            very fast grep-like program, alternative to ack-grep
universe/utils        tree                         displays an indented directory tree, in color
universe/web          lynx                         classic non-graphical (text-mode) web browser
universe/x11          xsel                         command-line tool to access X clipboard and selection buffers
utils                 bcache-tools                 bcache userspace tools
utils                 coreutils                    GNU core utilities
utils                 cpio                         GNU cpio -- a program to manage archives of files
utils                 diffutils                    File comparison utilities
utils                 dirmngr                      GNU privacy guard - network certificate management service
utils                 dmidecode                    SMBIOS/DMI table decoder
utils                 eatmydata                    Library and utilities designed to disable fsync and friends
utils                 ethtool                      display or change Ethernet device settings
utils                 fdisk                        collection of partitioning utilities
utils                 file                         Recognize the type of data in a file using "magic" numbers
utils                 findutils                    utilities for finding files--find, xargs
utils                 gnupg                        GNU privacy guard - a free PGP replacement
utils                 grep                         GNU grep, egrep and fgrep
utils                 gzip                         GNU compression utilities
utils                 htop                         interactive processes viewer
utils                 irqbalance                   Daemon to balance interrupts for SMP systems
utils                 libsensors-config            lm-sensors configuration files
utils                 lshw                         information about hardware configuration
utils                 lsof                         utility to list open files
utils                 ltrace                       Tracks runtime library calls in dynamically linked programs
utils                 mlocate                      quickly find files on the filesystem based on their name
utils                 ncurses-base                 basic terminal type definitions
utils                 ncurses-bin                  terminal-related programs and man pages
utils                 patch                        Apply a diff file to an original
utils                 poppler-utils                PDF utilities (based on Poppler)
utils                 strace                       System call tracer
utils                 time                         GNU time program for measuring CPU resource usage
utils                 unzip                        De-archiver for .zip files
utils                 usbutils                     Linux USB utilities
utils                 zip                          Archiver for .zip files
vcs                   git                          fast, scalable, distributed revision control system
web                   curl                         command line tool for transferring data with URL syntax
web                   nodejs                       Node.js event-based server-side javascript engine
web                   wget                         retrieves files from the web
x11                   dbus-x11                     simple interprocess messaging system (X11 deps)
x11                   plymouth                     boot animation, logger and I/O multiplexer
x11                   plymouth-theme-ubuntu-text   boot animation, logger and I/O multiplexer - ubuntu text theme
x11                   x11-common                   X Window System (X.Org) infrastructure
x11                   x11-utils                    X11 utilities
