Section          Name                            Description
libdevel         libc6-dev:amd64                 GNU C Library: Development Libraries and Header Files
libdevel         libcrypt-dev:amd64              libcrypt development files
libdevel         libexpat1-dev:amd64             XML parsing C library - development kit
libdevel         libgcc-9-dev:amd64              GCC support library (development files)
libdevel         libpython3.8-dev:amd64          Header files and a static library for Python (v3.8)
libdevel         libstdc++-9-dev:amd64           GNU Standard C++ Library v3 (development files)
libdevel         zlib1g-dev:amd64                compression library - development
libs             alsa-topology-conf              ALSA topology configuration files
libs             alsa-ucm-conf                   ALSA Use Case Manager configuration files
libs             bind9-libs:amd64                Shared Libraries used by BIND 9
libs             blt                             graphics extension library for Tcl/Tk - run-time
libs             dconf-gsettings-backend:amd64   simple configuration storage system - GSettings back-end
libs             dconf-service                   simple configuration storage system - D-Bus service
libs             fontconfig-config               generic font configuration library - configuration
libs             gcc-10-base:amd64               GCC, the GNU Compiler Collection (base package)
libs             gcc-9-base:amd64                GCC, the GNU Compiler Collection (base package)
libs             glib-networking-common          network-related giomodules for GLib - data files
libs             glib-networking-services        network-related giomodules for GLib - D-Bus services
libs             glib-networking:amd64           network-related giomodules for GLib
libs             gsettings-desktop-schemas       GSettings desktop-wide schemas
libs             iso-codes                       ISO language, territory, currency, script codes and their translations
libs             klibc-utils                     small utilities built with klibc for early boot
libs             libaccountsservice0:amd64       query and manipulate user account information - shared libraries
libs             libacl1:amd64                   access control list - shared library
libs             libaio1:amd64                   Linux kernel AIO access library - shared library
libs             libapparmor1:amd64              changehat AppArmor library
libs             libappstream4:amd64             Library to access AppStream services
libs             libapt-pkg6.0:amd64             package management runtime library
libs             libarchive13:amd64              Multi-format archive and compression library (shared library)
libs             libargon2-1:amd64               memory-hard hashing function - runtime library
libs             libasan5:amd64                  AddressSanitizer -- a fast memory error detector
libs             libasn1-8-heimdal:amd64         Heimdal Kerberos - ASN.1 library
libs             libasound2-data                 Configuration files and profiles for ALSA drivers
libs             libasound2:amd64                shared library for ALSA applications
libs             libassuan0:amd64                IPC library for the GnuPG components
libs             libasyncns0:amd64               Asynchronous name service query library
libs             libatasmart4:amd64              ATA S.M.A.R.T. reading and parsing library
libs             libatm1:amd64                   shared library for ATM (Asynchronous Transfer Mode)
libs             libatomic1:amd64                support library providing __atomic built-in functions
libs             libattr1:amd64                  extended attribute handling - shared library
